Case,X,Y,Z,modeSelected
2,0.2059668,1.341208,0.3802277,Tap
2,-0.2653175,1.061002,0.2672888,Tap
3,-0.138154,1.106428,0.2884892,Tap
4,-0.3229121,1.213812,0.2733305,Tap
5,0.2910869,0.9613307,0.3020124,Tap
10,0.01615932,0.9843613,0.3550518,Tap
13,-0.1572664,1.259185,0.2291725,Tap
14,-0.09309682,1.329518,0.2515422,Tap
15,-0.0003585257,1.49127,0.3279411,Tap
17,-0.0486451,1.126685,0.2463779,Tap
18,0.05153594,1.294035,0.2346187,Tap
18,-0.1899318,0.9538292,0.2843684,Tap
20,-0.01051662,1.141891,0.2673144,Tap
20,-0.1741572,1.116031,0.2399338,Tap
22,0.06447713,1.019188,0.2922136,Tap
22,-0.0191923,1.079047,0.2612008,Tap
23,0.05764012,0.9018556,0.2850569,Tap
24,0.02677629,0.9821861,0.3320404,Tap
24,0.008578369,1.107756,0.2519917,Tap
24,0.03350618,1.213427,0.2565306,Tap
26,0.01071891,1.095604,0.3064585,Tap
32,0.2470281,1.247137,0.3887928,Tap
37,0.08540753,1.073017,0.3287157,Tap
39,0.117418,1.20666,0.3182947,Tap
39,-0.01279836,1.160836,0.2434543,Tap
39,-0.1025131,1.04327,0.3052658,Tap
40,-0.1121875,1.069368,0.3629273,Tap
41,-0.009728361,1.39807,0.3752939,Tap
41,-0.07353966,1.242028,0.2748155,Tap
43,-0.01853263,1.287076,0.310536,Tap
45,0.1064646,1.153293,0.2331001,Tap
