Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.88, ,10,1,longPress,3
2,0,0,2.32, ,10,1,longPress,12
3,0,0,2.6, ,10,1,longPress,5
4,0,0,2.659999, ,10,1,longPress,14
5,0,0,2.700001, ,10,1,longPress,7
6,0,2,2.74, ,10,1,longPress,0
7,0,0,2.799999, ,10,1,longPress,9
8,0,0,2.6, ,10,1,longPress,2
9,0,0,2.6, ,10,1,longPress,11
10,0,0,2.440001, ,10,1,longPress,4
11,0,0,2.219997, ,10,1,longPress,13
12,0,0,2.460003, ,10,1,longPress,6
13,0,0,2.759998, ,10,1,longPress,15
14,0,3,2.200001, ,10,1,longPress,8
15,0,1,2.48, ,10,1,longPress,1
16,0,1,2.060001, ,10,1,longPress,3
17,0,1,1.98, ,10,1,longPress,12
18,0,0,2.02, ,10,1,longPress,5
19,0,0,2.119999, ,10,1,longPress,14
20,0,1,1.939999, ,10,1,longPress,7
21,0,0,2.16, ,10,1,longPress,0
22,0,1,1.84, ,10,1,longPress,9
23,0,0,1.900002, ,10,1,longPress,2
24,0,1,2.120003, ,10,1,longPress,11
25,0,0,2.139999, ,10,1,longPress,4
26,0,1,2.239998, ,10,1,longPress,13
27,0,2,1.919998, ,10,1,longPress,6
28,0,0,2.32, ,10,1,longPress,15
29,0,2,2, ,10,1,longPress,8
30,0,0,2.279999, ,10,1,longPress,1
31,0,2,1.800003, ,14,0,longPress,5
32,0,1,1.899994, ,14,0,longPress,12
33,0,1,1.860001, ,14,0,longPress,3
34,0,0,1.800003, ,14,0,longPress,10
35,0,2,1.959999, ,14,0,longPress,1
36,0,0,1.860001, ,14,0,longPress,8
37,0,2,1.959999, ,14,0,longPress,15
38,0,0,1.879997, ,14,0,longPress,6
39,0,0,1.840004, ,14,0,longPress,13
40,0,1,1.760002, ,14,0,longPress,4
41,0,1,1.82, ,14,0,longPress,11
42,0,2,1.779999, ,14,0,longPress,2
43,0,2,1.720001, ,14,0,longPress,9
44,0,0,1.799995, ,14,0,longPress,0
45,0,1,1.82, ,14,0,longPress,7
46,0,0,2.360016,B,4,1,magicTap,13
47,0,1,3.359985,B,4,1,magicTap,6
48,0,0,2.080017,B,4,1,magicTap,15
49,0,1,1.940002,B,4,1,magicTap,8
50,0,1,1.599976,B,4,1,magicTap,1
51,0,0,1.800018,B,4,1,magicTap,10
52,0,0,2.199982,B,4,1,magicTap,3
53,0,0,2.300018,A,4,1,magicTap,12
54,0,1,2.359985,A,4,1,magicTap,5
55,0,0,1.820007,B,4,1,magicTap,14
56,0,0,2.220001,B,4,1,magicTap,7
57,0,1,2.540009,B,4,1,magicTap,0
58,0,2,2.199982,A,4,1,magicTap,9
59,0,2,2.600006,B,4,1,magicTap,2
60,0,0,2.119995,B,4,1,magicTap,11
61,0,0,1.720001,B,5,0,magicTap,12
62,0,1,1.52002,B,5,0,magicTap,3
63,1,2,2.579987,B,5,0,magicTap,10
64,0,0,1.660004,B,5,0,magicTap,1
65,0,3,1.600006,B,5,0,magicTap,8
66,0,0,1.480011,B,5,0,magicTap,15
67,0,2,1.819977,B,5,0,magicTap,6
68,0,1,1.800018,B,5,0,magicTap,13
69,0,2,2.059998,B,5,0,magicTap,4
70,0,1,1.799988,B,5,0,magicTap,11
71,0,1,1.700012,B,5,0,magicTap,2
72,0,0,1.639984,B,5,0,magicTap,9
73,0,2,1.580017,B,5,0,magicTap,0
74,0,0,1.679993,B,5,0,magicTap,7
75,0,0,2.5,B,5,0,magicTap,14
76,0,1,1.959991,B,6,0,magicTap,13
77,0,1,1.26001,B,6,0,magicTap,4
78,0,1,1.47998,B,6,0,magicTap,11
79,0,1,1.580017,B,6,0,magicTap,2
80,0,0,1.359985,B,6,0,magicTap,9
81,0,1,1.26001,B,6,0,magicTap,0
82,0,0,1.359985,B,6,0,magicTap,7
83,0,1,1.320007,B,6,0,magicTap,14
84,0,1,1.73999,B,6,0,magicTap,5
85,0,1,1.880005,B,6,0,magicTap,12
86,0,1,1.52002,B,6,0,magicTap,3
87,0,1,1.419983,B,6,0,magicTap,10
88,0,0,1.459991,B,6,0,magicTap,1
89,0,0,1.420013,B,6,0,magicTap,8
90,0,1,1.339996,B,6,0,magicTap,15
