Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.09814556,0.8248914,0.5303097,-1.132039,0.05778868,magicTap,4,-1,-0.02028129,1.146384,0.03639269,-0.08077236,0.0968364,0.006410836,-0.07384358,0.7360015,0.4912176
1,-0.09819368,0.8249057,0.5302734,-2.734655,0.003095594,magicTap,4,-1,-0.01839609,1.147056,0.03485537,-0.09022794,0.1098708,0.01049277,-0.07384846,0.7359926,0.4912024
1,-0.09807096,0.8250574,0.5301056,0.488665,0.01286889,magicTap,4,-1,-0.01612375,1.148643,0.0328064,-0.09777371,0.1251816,0.01558343,-0.0736606,0.7356915,0.4910812
1,-0.09877056,0.8266158,0.5286784,4.921485,0.1112986,magicTap,4,-1,-0.01230409,1.150896,0.02918673,-0.1158303,0.1512319,0.02473886,-0.07421239,0.7368622,0.4905014
1,-0.09800472,0.8295041,0.526957,3.05629,0.1724244,magicTap,4,-1,-0.01093953,1.151306,0.02739525,-0.1185414,0.1600574,0.02787961,-0.07349698,0.7394752,0.4896111
1,-0.09375373,0.8538167,0.5151625,59.76569,1.367738,magicTap,3,-1,-0.008269209,1.152472,0.02434683,-0.1292248,0.1786945,0.03304805,-0.06985577,0.7636871,0.4807487
1,-0.09000694,0.8811174,0.491415,22.55636,1.818865,magicTap,3,-1,-0.005926341,1.1538,0.02114391,-0.1373209,0.1940207,0.03579132,-0.06671841,0.7907392,0.4595218
1,-0.07670685,0.9082547,0.4850531,-13.73405,1.544184,magicTap,3,-1,-0.004958272,1.154345,0.01989746,-0.1401674,0.1992908,0.03607378,-0.05381751,0.8174433,0.4556651
1,-0.06850264,0.9259003,0.4832363,-28.34866,0.9772112,magicTap,3,-1,-0.00366782,1.154857,0.01856422,-0.1429525,0.2038403,0.03633339,-0.04589761,0.8349182,0.4556475
1,-0.05168151,0.9424214,0.4935846,15.51057,1.287423,magicTap,3,-1,-0.00174765,1.155898,0.01597977,-0.150612,0.2163731,0.03854594,-0.03071941,0.8497292,0.4711967
1,-0.04107925,0.9586637,0.49367,-15.87961,0.9698305,magicTap,3,-1,-0.0009080619,1.156394,0.01513338,-0.1518925,0.2169358,0.03903553,-0.02223774,0.8646233,0.4776649
1,0.0448376,1.064913,0.4700518,298.175,6.93333,magicTap,3,-1,0.000738848,1.157391,0.01331997,-0.1569456,0.2235911,0.04158603,0.05144938,0.9767494,0.4684744
1,0.06519859,1.092981,0.4614124,-257.3273,1.786783,magicTap,3,-1,0.001429216,1.157846,0.0126152,-0.1582865,0.2243999,0.04354616,0.07052886,1.006078,0.4625139
1,0.0704694,1.098181,0.4616933,-70.81644,0.3704541,magicTap,3,-1,0.002224957,1.158271,0.01179552,-0.160376,0.2257245,0.04580985,0.07581983,1.011701,0.4629526
1,0.1066545,1.141509,0.450273,125.4633,2.87972,magicTap,3,-1,0.002878577,1.15855,0.01151276,-0.1613249,0.2234696,0.04794769,0.1124633,1.058273,0.4588709
1,0.1256278,1.162558,0.4527283,-72.87576,1.422205,magicTap,3,-1,0.005118545,1.159959,0.009742737,-0.1668626,0.2235419,0.05334054,0.1352097,1.080413,0.465107
1,0.1492102,1.193466,0.4345155,36.22006,2.146606,magicTap,3,-1,0.005768765,1.160104,0.00937748,-0.1677743,0.2221963,0.05450568,0.1616976,1.11402,0.4574008
1,0.1697852,1.22982,0.431901,-2.693641,2.092733,magicTap,3,-1,0.007082795,1.160397,0.008791447,-0.1701583,0.2193431,0.05696613,0.1844352,1.149094,0.4532242
1,0.2146423,1.271544,0.4295959,48.62614,3.065256,magicTap,3,-1,0.007706442,1.160586,0.008663177,-0.1718974,0.2176499,0.056971,0.2301169,1.190285,0.451848
1,0.2162098,1.272995,0.4288597,-147.6146,0.1129639,magicTap,3,-1,0.008605666,1.161088,0.008347988,-0.174033,0.2158794,0.05737277,0.2318598,1.191752,0.4514771
1,0.2274601,1.284693,0.4208617,39.58596,0.9046831,magicTap,3,-1,0.01009931,1.161726,0.007725239,-0.177718,0.2129346,0.05833679,0.2486316,1.20474,0.4470601
1,0.2284899,1.29657,0.4199777,-15.34886,0.597706,magicTap,3,-1,0.01052823,1.161806,0.007616043,-0.1784457,0.2111391,0.05794398,0.2526016,1.21565,0.4411087
1,0.2315945,1.302333,0.4223204,-12.50413,0.3476234,magicTap,3,-1,0.01170473,1.162359,0.00714016,-0.1813834,0.2076617,0.05815027,0.2591599,1.221437,0.441452
1,0.243696,1.312805,0.4460764,54.22802,1.432184,magicTap,3,-1,0.01168446,1.162564,0.007065773,-0.1812813,0.2071443,0.05792959,0.275893,1.232221,0.4616313
