Case,X,Y,Z,a,v,modeSelected
46,0.01612791,0.940823,0.4422112,-13.31452,0.998262,longPress
46,0.01264033,0.9476594,0.4593658,-2.93017,0.9396586,longPress
46,0.005435195,0.9501928,0.4742889,-5.072993,0.8381987,longPress
46,-0.0004134439,0.953429,0.4890857,-1.31875,0.8118237,longPress
46,-0.00781817,0.9514406,0.5031829,-40.1182,0,longPress
46,-0.01388134,0.9504766,0.5170474,37.90747,0.7581495,longPress
46,-0.01971465,0.9481734,0.525825,-10.93774,0.5393948,longPress
46,-0.02504201,0.9468286,0.5350752,-0.07238686,0.5379471,longPress
46,-0.02660462,0.9411219,0.5472322,6.903493,0.6760169,longPress
46,-0.02829082,0.9357668,0.5555921,-8.625296,0.503511,longPress
46,-0.0307107,0.9314704,0.5639319,-0.9541526,0.484428,longPress
46,-0.02891621,0.9323277,0.5681067,-12.66086,0.2312107,longPress
46,-0.02806951,0.9326361,0.5727158,0.1803838,0.2348184,longPress
46,-0.02980138,0.9397025,0.5738387,-18.40413,0,longPress
46,-0.03039105,0.9498496,0.5755014,25.74844,0.5149688,longPress
46,-0.03118827,0.957464,0.5775023,-5.965491,0.3956589,longPress
46,-0.03225828,0.9629301,0.5793982,-5.073753,0.2941839,longPress
46,-0.03339799,0.9676527,0.5815439,-1.431826,0.2655474,longPress
46,-0.03300668,0.9693817,0.5840034,-5.697845,0.1515905,longPress
46,-0.03282341,0.9717821,0.5864477,0.997211,0.1715347,longPress
46,-0.03312006,0.9671438,0.589653,-14.11456,0,longPress
46,-0.03291699,0.9641033,0.5927553,10.87154,0.2174309,longPress
46,-0.03295227,0.9651935,0.5936403,-7.359996,0.07023096,longPress
46,-0.0328435,0.9645004,0.5938425,-1.686396,0.03650304,longPress
46,-0.03245555,0.9639796,0.5942211,0.05419347,0.03758691,longPress
46,-0.03084728,0.9652278,0.5942945,3.213464,0.1018562,longPress
46,-0.02954303,0.9659863,0.5944023,-1.311318,0.07562982,longPress
46,-0.02848358,0.9664382,0.5945272,-0.8850574,0.05792867,longPress
46,-0.0267952,0.9668781,0.5947475,1.500086,0.08793038,longPress
46,-0.02353185,0.9676733,0.59517,4.066734,0.1692651,longPress
46,-0.02066638,0.9683621,0.5954857,-7.409872,0,longPress
46,-0.01551164,0.9686948,0.5964456,13.13473,0.2626945,longPress
46,-0.01267139,0.9674308,0.5971351,-5.173849,0.1592175,longPress
46,-0.009854391,0.9665275,0.5977263,-0.4188858,0.1508398,longPress
46,-0.008648327,0.9646015,0.5978284,-1.854983,0.1137402,longPress
46,-0.007169714,0.9630184,0.5978994,-0.2686612,0.1083669,longPress
46,-0.005983232,0.9611403,0.597415,0.2658662,0.1136843,longPress
46,-0.004624659,0.9592547,0.5969076,0.2627339,0.1189389,longPress
46,-0.003135351,0.957649,0.5966487,-0.4336056,0.1102668,longPress
46,-0.001568839,0.955919,0.596384,-5.872066,0,longPress
46,-0.001050936,0.9539299,0.5953074,5.800802,0.116016,longPress
