Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,1,1,1.460003, ,1,0,Tap,8
2,0,0,1.219997, ,1,0,Tap,15
3,0,0,1.240002, ,1,0,Tap,6
4,0,0,1.399998, ,1,0,Tap,13
5,0,0,1.34, ,1,0,Tap,4
6,0,0,1.200001, ,1,0,Tap,11
7,0,0,1.139999, ,1,0,Tap,2
8,1,1,1.460003, ,1,0,Tap,9
9,0,0,1.239998, ,1,0,Tap,0
10,0,0,1.439999, ,1,0,Tap,7
11,0,0,1.320004, ,1,0,Tap,14
12,2,2,1.299999, ,1,0,Tap,5
13,0,0,1.259998, ,1,0,Tap,12
14,0,0,1.34, ,1,0,Tap,3
15,0,0,1.32, ,1,0,Tap,10
16,1,1,0.8600006, ,8,1,Tap,1
17,0,0,0.9800034, ,8,1,Tap,10
18,1,1,0.9599991, ,8,1,Tap,3
19,2,2,1.199997, ,8,1,Tap,12
20,0,0,1.120003, ,8,1,Tap,5
21,0,0,0.9400024, ,8,1,Tap,14
22,0,0,1.059998, ,8,1,Tap,7
23,1,1,1.040001, ,8,1,Tap,0
24,0,0,1.040001, ,8,1,Tap,9
25,0,0,1.040001, ,8,1,Tap,2
26,0,0,1.059998, ,8,1,Tap,11
27,0,0,1.059998, ,8,1,Tap,4
28,1,1,1.040001, ,8,1,Tap,13
29,0,0,1.099998, ,8,1,Tap,6
30,1,1,1, ,8,1,Tap,15
31,0,0,0.8000031, ,2,1,Tap,11
32,0,0,0.7999954, ,2,1,Tap,4
33,1,1,0.8200073, ,2,1,Tap,13
34,0,0,0.9799957, ,2,1,Tap,6
35,0,0,0.9000015, ,2,1,Tap,15
36,0,0,0.9000015, ,2,1,Tap,8
37,0,0,0.8399963, ,2,1,Tap,1
38,0,0,1, ,2,1,Tap,10
39,0,0,0.9599991, ,2,1,Tap,3
40,0,0,0.9000015, ,2,1,Tap,12
41,0,0,0.9400024, ,2,1,Tap,5
42,0,0,0.8799973, ,2,1,Tap,14
43,0,0,0.8799973, ,2,1,Tap,7
44,1,1,0.840004, ,2,1,Tap,0
45,1,1,0.9400024, ,2,1,Tap,9
