Case,X,Y,Z,modeSelected
1,-0.3980262,1.153922,0.4747415,Tap
8,-0.3702794,1.110627,0.3716303,Tap
12,0.1605847,0.9852512,0.5066173,Tap
12,-0.183942,1.464682,0.441473,Tap
16,-0.1649676,1.206062,0.4037389,Tap
18,-0.2445922,1.002039,0.3736964,Tap
19,-0.04514815,1.242223,0.368423,Tap
19,-0.08878775,1.065573,0.3878641,Tap
23,0.1716062,1.081573,0.4035171,Tap
28,0.03722629,0.9169316,0.4325709,Tap
30,0.1904896,1.042747,0.3721949,Tap
33,-0.02854849,1.287194,0.4209151,Tap
44,0.02905078,1.118317,0.3662614,Tap
45,0.0810933,1.125601,0.4271108,Tap
