Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
49,-0.3209638,1.232476,0.5309396,1.113167,0.06590267,longPress,4,-1,-0.06126376,1.191417,0.000184536,-0.06595612,-0.1595411,-0.03118134
49,-0.3200188,1.231933,0.5305219,-0.3776871,0.05834893,longPress,4,-1,-0.06004354,1.190015,0.001168728,-0.05809351,-0.1518475,-0.03201866
49,-0.3184852,1.230435,0.5307617,2.475906,0.1078671,longPress,4,-1,-0.0593031,1.18899,0.001628399,-0.05330752,-0.1466729,-0.03262208
49,-0.3182473,1.229581,0.5309839,-3.107881,0.04570945,longPress,4,-1,-0.05736186,1.186352,0.002539158,-0.04080736,-0.1341546,-0.03244013
49,-0.3169227,1.227206,0.5325375,5.544845,0.1566063,longPress,4,-1,-0.05615403,1.184939,0.003018379,-0.0339927,-0.1278828,-0.03177685
49,-0.3161474,1.226174,0.5328779,-4.493275,0.06674086,longPress,4,-1,-0.05490584,1.183568,0.003621578,-0.02665017,-0.1208044,-0.03205543
49,-0.3154142,1.225109,0.5332727,0.04286766,0.06759821,longPress,4,-1,-0.05242509,1.180789,0.00447464,-0.01206694,-0.1040046,-0.03512478
49,-0.3071421,1.223157,0.5302978,19.13223,0.4502428,longPress,3,-1,-0.05048297,1.178913,0.004621983,-0.00411953,-0.0932351,-0.03434766
49,-0.3028944,1.220923,0.5307331,-10.4651,0.2409407,longPress,3,-1,-0.04717511,1.175635,0.005256653,0.009732117,-0.07652088,-0.03407652
49,-0.2997657,1.217821,0.5317998,-0.7127889,0.2266849,longPress,3,-1,-0.04551034,1.174202,0.005364418,0.0163814,-0.06792051,-0.03465491
49,-0.2911366,1.214133,0.5246854,18.10589,0.5888028,longPress,3,-1,-0.04401418,1.172659,0.005393982,0.02271128,-0.05880235,-0.03704541
49,-0.2805431,1.20737,0.5211148,3.223756,0.6532779,longPress,3,-1,-0.04015141,1.169374,0.004817486,0.03561065,-0.04126245,-0.03848221
49,-0.2680689,1.194894,0.520709,11.45366,0.882351,longPress,3,-1,-0.03788636,1.167929,0.004568577,0.04094354,-0.03344791,-0.03764411
49,-0.2598273,1.188592,0.5190096,-17.83488,0.5256535,longPress,3,-1,-0.03453026,1.165483,0.003715992,0.04899096,-0.01665496,-0.03966497
49,-0.2369532,1.174511,0.505928,48.41012,1.493856,longPress,3,-1,-0.03269424,1.163985,0.00290966,0.05379694,-0.00773142,-0.04163187
49,-0.2313167,1.169296,0.5045853,-55.20535,0.3897489,longPress,3,-1,-0.0305172,1.16249,0.002040863,0.05881115,0.000350232,-0.04229464
49,-0.2237768,1.161693,0.5064077,7.667214,0.5430932,longPress,3,-1,-0.02651811,1.160157,0.000259876,0.06837729,0.01671805,-0.04094959
49,-0.2083642,1.145676,0.5032468,28.9753,1.122599,longPress,3,-1,-0.0230877,1.158667,-0.001443863,0.07218768,0.03190652,-0.04034931
49,-0.1941384,1.130198,0.5045195,-3.478485,1.05303,longPress,3,-1,-0.02146573,1.157969,-0.0024333,0.07319026,0.03889161,-0.04170981
49,-0.1857399,1.122758,0.5046873,-24.59759,0.5610778,longPress,3,-1,-0.02021873,1.15731,-0.003437519,0.07454184,0.04528143,-0.04300148
49,-0.1696008,1.114187,0.4955506,23.02296,1.021537,longPress,2,32,-0.01707361,1.156074,-0.005943298,0.0778769,0.05850825,-0.04289963
49,-0.1472706,1.092908,0.4873085,28.74187,1.596375,longPress,3,-1,-0.01423012,1.155473,-0.008283615,0.07825898,0.06868277,-0.04037478
49,-0.1303192,1.07494,0.4908223,-17.44261,1.247522,longPress,3,-1,-0.01317403,1.155074,-0.009544849,0.07800309,0.07396641,-0.0407771
49,-0.1212229,1.069701,0.4890199,-35.74896,0.5325431,longPress,3,-1,-0.01218407,1.154658,-0.01104116,0.07803421,0.07939345,-0.04285447
49,-0.110541,1.057273,0.4948235,16.83504,0.8692439,longPress,3,-1,-0.009335972,1.154895,-0.01322889,0.07710017,0.0882574,-0.04082315
49,-0.08696368,1.041762,0.5001225,28.32558,1.435756,longPress,3,-1,-0.008192506,1.154825,-0.01421213,0.0755678,0.09140945,-0.03903533
49,-0.06945208,1.035713,0.4948235,-23.61314,0.9634928,longPress,3,-1,-0.006420352,1.154277,-0.01690865,0.07464837,0.1007765,-0.04091452
49,-0.04301681,1.020863,0.486351,30.53183,1.574129,longPress,3,-1,-0.005427893,1.154101,-0.01832485,0.07553298,0.1056311,-0.04281852
49,-0.02582872,1.011196,0.4885025,-29.11382,0.991853,longPress,3,-1,-0.002717957,1.154484,-0.020504,0.07456373,0.1115248,-0.03995101
49,0.005205467,0.994377,0.4832454,39.62705,1.784394,longPress,3,-1,-0.001565836,1.154657,-0.02141142,0.07277854,0.1139237,-0.03859698
49,0.01568927,0.9839773,0.4844074,-52.18811,0.7406318,longPress,3,-1,-0.000784069,1.154623,-0.02240658,0.07154799,0.1173385,-0.03967895
