Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
1,-0.2193128,1.002129,0.5248103,-4.557243,0.0510722,pinch,4,-1,-0.04977566,1.127542,-0.007024765,-0.08073878,0.02104604,-0.002931617
1,-0.2206532,1.005375,0.5243754,6.293039,0.176933,pinch,4,-1,-0.04433626,1.128238,-0.007190704,-0.08706709,0.04445168,-0.002045032
1,-0.2229726,1.007135,0.5220199,0.5163014,0.187259,pinch,4,-1,-0.04157586,1.128486,-0.007460117,-0.08970562,0.05730128,-0.00146365
1,-0.2239107,1.007871,0.5191212,-1.526876,0.1567215,pinch,4,-1,-0.0388503,1.128749,-0.007977009,-0.09051263,0.06956693,-0.002400046
1,-0.2214502,1.011827,0.51122,15.09515,0.4586245,pinch,4,-1,-0.03397381,1.128988,-0.008658409,-0.09349862,0.09061286,-0.003742746
1,-0.216426,1.014713,0.5016727,4.98825,0.5583895,pinch,4,-1,-0.02900822,1.128832,-0.009243488,-0.09580503,0.1106655,-0.006506209
1,-0.1891486,1.043944,0.4812737,84.29263,2.244242,pinch,3,-1,-0.02652594,1.128802,-0.009550571,-0.09659255,0.1191689,-0.007524108
1,-0.1802213,1.05238,0.4722295,-74.07904,0.7626612,pinch,3,-1,-0.02174722,1.128828,-0.01035213,-0.09668405,0.1339579,-0.008952991
1,-0.1575579,1.061841,0.465713,25.38827,1.270427,pinch,3,-1,-0.01953438,1.128555,-0.01071215,-0.09636938,0.1408118,-0.009495469
1,-0.1396844,1.062044,0.4569383,-13.74049,0.9956167,pinch,3,-1,-0.01741843,1.128253,-0.01093578,-0.09596036,0.1468773,-0.01017659
1,-0.1186605,1.064785,0.4447203,11.39484,1.223514,pinch,3,-1,-0.01340118,1.127612,-0.01153994,-0.09514505,0.1558309,-0.009322872
1,-0.08516592,1.064649,0.4273376,33.16613,1.886836,pinch,3,-1,-0.0113335,1.127445,-0.01176596,-0.09401774,0.1600214,-0.008358371
1,-0.07411537,1.069458,0.4196157,-58.559,0.7156563,pinch,3,-1,-0.009362865,1.127184,-0.01206875,-0.09264217,0.1635902,-0.007640693
1,-0.05850107,1.069942,0.415401,4.668131,0.8090189,pinch,3,-1,-0.005665734,1.126367,-0.01257467,-0.09032976,0.1697189,-0.007669383
1,-0.02411816,1.07114,0.401958,51.89135,1.846846,pinch,3,-1,-0.002224538,1.126158,-0.01295614,-0.08765588,0.1727793,-0.006535259
1,0.0040408,1.070197,0.3932819,-18.64142,1.474017,pinch,3,-1,-0.000355177,1.126057,-0.01314545,-0.08709071,0.173658,-0.005683308
1,0.01957044,1.071855,0.4079256,-20.17769,1.070464,pinch,3,-1,0.001067676,1.125794,-0.01333427,-0.08659355,0.1741945,-0.005030615
1,0.03117806,1.069528,0.417582,-15.3295,0.7638735,pinch,3,-1,0.002770028,1.125609,-0.01352596,-0.08582372,0.1751838,-0.004433049
1,0.04879078,1.067098,0.4282761,13.67606,1.037395,pinch,3,-1,0.006071884,1.125659,-0.01391554,-0.08465009,0.1754363,-0.003719873
1,0.07414839,1.074121,0.4175777,19.14067,1.420208,pinch,3,-1,0.009560958,1.125362,-0.01435375,-0.08403534,0.1759514,-0.003225819
