Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.279999, ,3,1,Tap,12
2,0,0,2.139984, ,3,1,Tap,5
3,0,0,2.5, ,3,1,Tap,14
4,0,0,1.940002, ,3,1,Tap,7
5,0,0,2.119995, ,3,1,Tap,0
6,0,0,2.960022, ,3,1,Tap,9
7,0,0,2.119995, ,3,1,Tap,2
8,0,0,2.220001, ,3,1,Tap,11
9,1,1,1.779999, ,3,1,Tap,4
10,0,0,2.399994, ,3,1,Tap,13
11,0,0,2.700012, ,3,1,Tap,6
12,0,0,2.299988, ,3,1,Tap,15
13,0,0,2.040009, ,3,1,Tap,8
14,0,0,1.839996, ,3,1,Tap,1
15,1,1,2.619995, ,3,1,Tap,10
16,0,0,2.019989, ,4,1,Tap,13
17,0,0,1.559998, ,4,1,Tap,6
18,0,0,1.680023, ,4,1,Tap,15
19,0,0,1.639984, ,4,1,Tap,8
20,0,0,1.540009, ,4,1,Tap,1
21,0,0,1.639984, ,4,1,Tap,10
22,0,0,1.860016, ,4,1,Tap,3
23,0,0,2.079987, ,4,1,Tap,12
24,0,0,1.900024, ,4,1,Tap,5
25,0,0,1.959991, ,4,1,Tap,14
26,1,1,1.699982, ,4,1,Tap,7
27,0,0,1.620026, ,4,1,Tap,0
28,0,0,1.679993, ,4,1,Tap,9
29,0,0,1.440002, ,4,1,Tap,2
30,0,0,1.820007, ,4,1,Tap,11
31,0,0,1.279999, ,2,0,Tap,9
32,0,0,1.200012, ,2,0,Tap,0
33,1,1,1.26001, ,2,0,Tap,7
34,0,0,1.299988, ,2,0,Tap,14
35,0,0,1.320007, ,2,0,Tap,5
36,0,0,1.299988, ,2,0,Tap,12
37,0,0,1.179993, ,2,0,Tap,3
38,0,0,1.279999, ,2,0,Tap,10
39,0,0,1.240021, ,2,0,Tap,1
40,0,0,1.139984, ,2,0,Tap,8
41,0,0,1.320007, ,2,0,Tap,15
42,0,0,1.299988, ,2,0,Tap,6
43,0,0,1.360016, ,2,0,Tap,13
44,0,0,1.320007, ,2,0,Tap,4
45,0,0,1.399994, ,2,0,Tap,11
