Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.860001,B,10,1,magicTap,3
2,0,0,1.899994,B,10,1,magicTap,12
3,0,0,2.800003,B,10,1,magicTap,5
4,0,0,2.360001,A,10,1,magicTap,14
5,0,0,2.300003,A,10,1,magicTap,7
6,0,1,1.819992,B,10,1,magicTap,0
7,1,2,3,B,10,1,magicTap,9
8,0,0,1.700012,B,10,1,magicTap,2
9,0,0,1.779999,B,10,1,magicTap,11
10,0,0,1.880005,B,10,1,magicTap,4
11,0,0,1.779999,B,10,1,magicTap,13
12,0,0,2.359985,B,10,1,magicTap,6
13,0,0,1.679993,B,10,1,magicTap,15
14,0,0,2.279999,B,10,1,magicTap,8
15,0,0,1.680023,B,10,1,magicTap,1
16,0,0,1.76001,B,4,1,magicTap,13
17,0,1,1.379974,B,4,1,magicTap,6
18,0,0,1.360016,B,4,1,magicTap,15
19,0,0,1.5,B,4,1,magicTap,8
20,0,2,1.380005,B,4,1,magicTap,1
21,0,0,1.759979,B,4,1,magicTap,10
22,0,1,1.440002,B,4,1,magicTap,3
23,0,1,1.5,B,4,1,magicTap,12
24,0,1,1.680023,B,4,1,magicTap,5
25,0,0,1.399994,B,4,1,magicTap,14
26,0,1,1.5,B,4,1,magicTap,7
27,0,0,1.419983,B,4,1,magicTap,0
28,0,0,1.440002,B,4,1,magicTap,9
29,0,0,1.480011,B,4,1,magicTap,2
30,0,1,1.619995,B,4,1,magicTap,11
31,0,0,1.200012,B,2,1,magicTap,11
32,0,0,1.219971,B,2,1,magicTap,4
33,0,2,1.52002,B,2,1,magicTap,13
34,0,0,1.220001,B,2,1,magicTap,6
35,0,2,1.320007,B,2,1,magicTap,15
36,0,1,1.319977,B,2,1,magicTap,8
37,0,1,1.640015,B,2,1,magicTap,1
38,0,0,1.540009,B,2,1,magicTap,10
39,0,1,1.059998,B,2,1,magicTap,3
40,0,0,1.47998,B,2,1,magicTap,12
41,0,1,1.339996,B,2,1,magicTap,5
42,0,2,1.300018,A,2,1,magicTap,14
43,0,2,1.519989,B,2,1,magicTap,7
44,0,0,1.300018,B,2,1,magicTap,0
45,0,1,1.220001,B,2,1,magicTap,9
