Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,4.699999, ,15,0,longPress,6
2,0,0,2.74, ,15,0,longPress,13
3,0,0,4.02, ,15,0,longPress,4
4,0,0,2.719999, ,15,0,longPress,11
5,0,1,2.580002, ,15,0,longPress,2
6,0,0,3.18, ,15,0,longPress,9
7,0,0,2.519997, ,15,0,longPress,0
8,0,0,3.560001, ,15,0,longPress,7
9,0,1,3.240002, ,15,0,longPress,14
10,0,0,3.279999, ,15,0,longPress,5
11,0,0,3.16, ,15,0,longPress,12
12,0,0,2.939999, ,15,0,longPress,3
13,0,1,3.420002, ,15,0,longPress,10
14,0,1,2.360001, ,15,0,longPress,1
15,0,0,3.439999, ,15,0,longPress,8
16,0,0,2.739998, ,14,0,longPress,5
17,0,0,2.300003, ,14,0,longPress,12
18,0,1,2.32, ,14,0,longPress,3
19,0,2,1.980003, ,14,0,longPress,10
20,0,0,1.759995, ,14,0,longPress,1
21,0,1,2.480003, ,14,0,longPress,8
22,0,2,2.099998, ,14,0,longPress,15
23,0,1,2.300003, ,14,0,longPress,6
24,0,1,2, ,14,0,longPress,13
25,0,1,2, ,14,0,longPress,4
26,0,0,1.939995, ,14,0,longPress,11
27,0,0,1.860001, ,14,0,longPress,2
28,0,1,1.940002, ,14,0,longPress,9
29,0,0,1.82, ,14,0,longPress,0
30,0,1,2.440002, ,14,0,longPress,7
31,0,0,1.699997, ,9,0,longPress,0
32,0,0,1.660004, ,9,0,longPress,7
33,0,1,1.579994, ,9,0,longPress,14
34,0,0,1.740005, ,9,0,longPress,5
35,0,2,1.720001, ,9,0,longPress,12
36,0,0,1.799995, ,9,0,longPress,3
37,0,1,1.880005, ,9,0,longPress,10
38,0,1,1.619995, ,9,0,longPress,1
39,0,1,1.840004, ,9,0,longPress,8
40,0,1,1.619995, ,9,0,longPress,15
41,0,0,1.740005, ,9,0,longPress,6
42,0,1,1.619995, ,9,0,longPress,13
43,0,2,1.759995, ,9,0,longPress,4
44,0,0,1.62001, ,9,0,longPress,11
45,0,0,1.679993, ,9,0,longPress,2
