Case,X,Y,Z,a,v,modeSelected
1,0.09026861,0.8760306,0.5085907,-4.32988,0.355963,Tap
1,0.09510155,0.8738125,0.5237403,22.34126,0.8027883,Tap
1,0.09655232,0.8718657,0.5293159,-24.93605,0.3040672,Tap
1,0.09655232,0.8718657,0.5293159,-24.93605,0.3040672,Tap
1,0.09850718,0.8689536,0.5383873,9.111145,0.4862901,Tap
1,0.0993193,0.8665782,0.5433192,-10.47936,0.2767029,Tap
1,0.101651,0.8606241,0.5512381,11.61036,0.5089102,Tap
1,0.101651,0.8606241,0.5512381,11.61036,0.5089102,Tap
1,0.1006435,0.8554942,0.556982,-6.028304,0.3883441,Tap
1,0.1006406,0.8522375,0.5602207,-7.934883,0.2296465,Tap
1,0.1006406,0.8522375,0.5602207,-7.934883,0.2296465,Tap
1,0.1022353,0.844232,0.568469,17.52922,0.5802309,Tap
1,0.1031905,0.8408922,0.5714555,-17.55918,0.2290474,Tap
1,0.1031905,0.8408922,0.5714555,-17.55918,0.2290474,Tap
1,0.1040511,0.8353798,0.5759387,6.440713,0.3578617,Tap
1,0.1043724,0.8340308,0.5776014,-12.48023,0.108257,Tap
1,0.1043724,0.8340308,0.5776014,-12.48023,0.108257,Tap
2,0.1049441,0.8300908,0.5801811,6.447162,0.2372003,Tap
2,0.1043252,0.8276607,0.5807662,0,0,Tap
2,0.09253973,0.8505394,0.5568275,87.8704,1.757408,Tap
2,0.09253973,0.8505394,0.5568275,87.8704,1.757408,Tap
2,0.07929847,0.8454066,0.5408864,-34.49688,1.06747,Tap
2,0.08018494,0.8464723,0.5397091,-48.82686,0.0909333,Tap
2,0.08018494,0.8464723,0.5397091,-48.82686,0.0909333,Tap
2,0.08037805,0.8465291,0.5384564,-1.374862,0.06343607,Tap
2,0.08009079,0.8476441,0.5365596,2.375643,0.1109489,Tap
2,0.08009079,0.8476441,0.5365596,2.375643,0.1109489,Tap
2,0.07982042,0.8522242,0.5328617,9.184544,0.2946398,Tap
2,0.0799325,0.8561131,0.5297003,-2.199452,0.2506508,Tap
2,0.0799325,0.8561131,0.5297003,-2.199452,0.2506508,Tap
2,0.07799365,0.8666269,0.5160661,30.78256,0.866302,Tap
2,0.07554826,0.8769666,0.5035477,-2.266398,0.820974,Tap
2,0.07358024,0.8871198,0.4905686,0.4404038,0.8297821,Tap
2,0.07358024,0.8871198,0.4905686,0.4404038,0.8297821,Tap
2,0.07243454,0.8930877,0.480938,-13.0199,0.5693842,Tap
2,0.07141219,0.8999711,0.4696751,4.628951,0.6619632,Tap
2,0.07141219,0.8999711,0.4696751,4.628951,0.6619632,Tap
2,0.06933244,0.9139714,0.4473305,33.02748,1.322513,Tap
2,0.06708166,0.9216567,0.4351029,-29.58443,0.7308242,Tap
2,0.06708166,0.9216567,0.4351029,-29.58443,0.7308242,Tap
2,0.0642153,0.9376168,0.4117036,34.63078,1.42344,Tap
2,0.0630655,0.9454223,0.399972,-35.8274,0.7068918,Tap
2,0.0630655,0.9454223,0.399972,-35.8274,0.7068918,Tap
2,0.06036423,0.9597278,0.3788347,28.81957,1.283283,Tap
2,0.05922864,0.9657954,0.3695445,-36.27891,0.5577049,Tap
2,0.05806513,0.9715542,0.3603902,-0.6915659,0.5438735,Tap
2,0.05806513,0.9715542,0.3603902,-0.6915659,0.5438735,Tap
2,0.05327409,0.9902854,0.3385181,45.78738,1.459621,Tap
2,0.0502129,1.002157,0.325943,-29.07433,0.8781345,Tap
2,0.0502129,1.002157,0.325943,-29.07433,0.8781345,Tap
2,0.03919878,1.028633,0.2971411,57.69924,2.032119,Tap
2,0.03357659,1.042482,0.282567,-49.41478,1.043824,Tap
2,0.03357659,1.042482,0.282567,-49.41478,1.043824,Tap
2,0.01832214,1.076756,0.2488008,73.99194,2.523662,Tap
2,0.007204793,1.094068,0.233664,-62.32711,1.27712,Tap
2,-0.002636008,1.112229,0.2219582,-4.500693,1.187106,Tap
2,-0.002636008,1.112229,0.2219582,-4.500693,1.187106,Tap
2,-0.02665913,1.149878,0.2022071,62.72658,2.441638,Tap
2,-0.04048737,1.170723,0.1903839,-52.91096,1.383419,Tap
2,-0.04048737,1.170723,0.1903839,-52.91096,1.383419,Tap
2,-0.07300536,1.210549,0.1751056,64.9221,2.681861,Tap
2,-0.08827931,1.230324,0.1700025,-70.33607,1.275139,Tap
2,-0.08827931,1.230324,0.1700025,-70.33607,1.275139,Tap
2,-0.1118156,1.264977,0.1686931,41.02028,2.095545,Tap
2,-0.1255738,1.279591,0.1689286,-54.59536,1.003638,Tap
2,-0.1352812,1.292237,0.1748948,-7.627714,0.8510833,Tap
2,-0.1352812,1.292237,0.1748948,-7.627714,0.8510833,Tap
2,-0.1516088,1.316912,0.187644,37.98976,1.610878,Tap
2,-0.1540049,1.327003,0.2077832,-23.91085,1.132661,Tap
2,-0.1540049,1.327003,0.2077832,-23.91085,1.132661,Tap
2,-0.1632284,1.353479,0.2319803,35.95246,1.851711,Tap
2,-0.1734467,1.364889,0.2432995,-44.97208,0.952269,Tap
2,-0.1734467,1.364889,0.2432995,-44.97208,0.952269,Tap
2,-0.1988122,1.385988,0.2636456,49.29342,1.938137,Tap
2,-0.2125736,1.396894,0.2762895,-42.81279,1.081882,Tap
2,-0.2252104,1.407867,0.2878509,-3.241235,1.017057,Tap
2,-0.2252104,1.407867,0.2878509,-3.241235,1.017057,Tap
2,-0.2514735,1.42849,0.3164859,59.1193,2.199443,Tap
2,-0.2612613,1.435985,0.3302555,-63.76784,0.924086,Tap
2,-0.2612613,1.435985,0.3302555,-63.76784,0.924086,Tap
2,-0.2765425,1.442216,0.3566914,31.70571,1.5582,Tap
2,-0.2832339,1.445684,0.3684134,-43.07032,0.6967937,Tap
2,-0.2832339,1.445684,0.3684134,-43.07032,0.6967937,Tap
2,-0.2916363,1.450923,0.4000292,47.98548,1.656503,Tap
2,-0.2955545,1.452934,0.4157848,-41.92611,0.8179812,Tap
2,-0.2955545,1.452934,0.4157848,-41.92611,0.8179812,Tap
2,-0.3004331,1.450094,0.437808,15.93865,1.136754,Tap
2,-0.303205,1.449787,0.4459248,-35.38156,0.429123,Tap
2,-0.3031026,1.4489,0.4504232,-9.990539,0.2293123,Tap
2,-0.3031026,1.4489,0.4504232,-9.990539,0.2293123,Tap
2,-0.3065622,1.449602,0.4601288,14.35342,0.5163807,Tap
2,-0.3081782,1.449347,0.4617972,-19.9772,0.1168368,Tap
2,-0.3081782,1.449347,0.4617972,-19.9772,0.1168368,Tap
2,-0.3121799,1.450056,0.464664,6.591541,0.2486676,Tap
2,-0.3149139,1.451332,0.4678483,-1.466923,0.2193292,Tap
2,-0.3149139,1.451332,0.4678483,-1.466923,0.2193292,Tap
2,-0.3221483,1.453307,0.472167,10.66836,0.4326964,Tap
2,-0.3245636,1.453199,0.4731236,-15.13468,0.1300028,Tap
2,-0.3264002,1.453928,0.4745297,-0.4370056,0.1212627,Tap
2,-0.3264002,1.453928,0.4745297,-0.4370056,0.1212627,Tap
2,-0.3311055,1.454513,0.4815764,15.1704,0.4246708,Tap
2,-0.3341233,1.454929,0.4855633,-8.689943,0.2508719,Tap
2,-0.3341233,1.454929,0.4855633,-8.689943,0.2508719,Tap
3,-0.3409729,1.455756,0.4884224,6.12728,0.3734175,Tap
3,-0.3446272,1.456383,0.4886794,0,0,Tap
3,-0.3652363,1.459894,0.483757,53.69416,1.073883,Tap
3,-0.3652363,1.459894,0.483757,53.69416,1.073883,Tap
3,-0.3637962,1.455132,0.4860997,-39.94635,0.2749562,Tap
3,-0.36423,1.455363,0.4878616,-9.174711,0.09146198,Tap
3,-0.36423,1.455363,0.4878616,-9.174711,0.09146198,Tap
3,-0.3638983,1.454935,0.4885607,-2.36256,0.04421078,Tap
3,-0.3629687,1.4543,0.4897809,1.940632,0.08302343,Tap
3,-0.362967,1.454298,0.4897866,-4.135692,0.0003096001,Tap
3,-0.362967,1.454298,0.4897866,-4.135692,0.0003096001,Tap
3,-0.3612351,1.453404,0.4919987,7.354665,0.1474029,Tap
3,-0.359814,1.452935,0.4930387,-2.814068,0.09112153,Tap
3,-0.3576636,1.452882,0.4939942,1.328366,0.1176888,Tap
3,-0.3546412,1.45295,0.4944429,1.756273,0.1528143,Tap
3,-0.3546412,1.45295,0.4944429,1.756273,0.1528143,Tap
3,-0.3488513,1.453058,0.4958797,7.275548,0.2983253,Tap
3,-0.3459491,1.453083,0.4963732,-7.556466,0.147196,Tap
3,-0.3459491,1.453083,0.4963732,-7.556466,0.147196,Tap
3,-0.3401136,1.453198,0.4960709,7.251287,0.2922217,Tap
3,-0.3364346,1.452642,0.4942632,-4.269245,0.2068368,Tap
3,-0.3327515,1.45182,0.4926372,-0.06914288,0.2054539,Tap
3,-0.3327515,1.45182,0.4926372,-0.06914288,0.2054539,Tap
3,-0.3260442,1.448551,0.4856014,15.36614,0.5127767,Tap
3,-0.3227804,1.447584,0.483089,-15.06157,0.2115454,Tap
3,-0.3227804,1.447584,0.483089,-15.06157,0.2115454,Tap
3,-0.3146766,1.445365,0.4778047,14.23674,0.4962802,Tap
3,-0.3105218,1.444149,0.4752841,-12.29058,0.2504686,Tap
3,-0.3105218,1.444149,0.4752841,-12.29058,0.2504686,Tap
3,-0.3019531,1.440431,0.4640856,23.93317,0.7291319,Tap
3,-0.2981076,1.43806,0.4553652,-11.90368,0.4910583,Tap
3,-0.2981076,1.43806,0.4553652,-11.90368,0.4910583,Tap
3,-0.2864161,1.431988,0.436573,32.82221,1.147503,Tap
3,-0.2795745,1.425773,0.420681,-11.41354,0.9192318,Tap
3,-0.2722259,1.419503,0.4062548,-2.557909,0.8680736,Tap
3,-0.2722259,1.419503,0.4062548,-2.557909,0.8680736,Tap
3,-0.2580915,1.406605,0.3748722,48.48697,1.837813,Tap
