Case,X,Y,Z,modeSelected
1,-0.04167799,1.055599,0.2607957,Tap
5,-0.3354607,0.9206239,0.2832158,Tap
7,0.1726967,0.9455512,0.3299638,Tap
7,-0.4359064,1.098202,0.3609628,Tap
9,-0.04054144,1.02339,0.282848,Tap
13,0.01253807,1.042323,0.3678793,Tap
15,0.2218226,1.059312,0.3013467,Tap
16,0.02486243,0.9361314,0.3669631,Tap
18,0.04416833,1.096774,0.3658505,Tap
18,-0.04507212,1.055091,0.329126,Tap
19,-0.1543528,0.947013,0.37766,Tap
19,-0.04362302,1.086857,0.3343361,Tap
21,-0.09260443,0.6748706,0.4329415,Tap
21,-0.1317741,1.076187,0.3431098,Tap
22,0.05364818,1.072863,0.3050443,Tap
23,0.1507363,0.9826027,0.3686922,Tap
25,-0.2650314,0.8727601,0.4242675,Tap
26,-0.08376861,1.313938,0.3493672,Tap
27,0.1929954,1.285849,0.308356,Tap
28,-0.1573266,0.923427,0.4245431,Tap
29,0.1072204,1.075102,0.3938863,Tap
30,-0.0616606,0.8881372,0.3640569,Tap
31,-0.1088412,1.036951,0.3224111,Tap
31,0.0531092,1.012231,0.356368,Tap
32,0.08466243,1.105369,0.3915071,Tap
35,-0.1050571,0.8144629,0.4061286,Tap
36,-0.02215694,0.9206961,0.3461812,Tap
39,0.1031821,1.039389,0.354233,Tap
41,-0.1094509,1.089568,0.3952849,Tap
45,-0.03248614,0.9199185,0.3759454,Tap
