Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,1,1,2.439995, ,6,0,Tap,13
2,0,0,2.260002, ,6,0,Tap,4
3,0,0,2.080002, ,6,0,Tap,11
4,0,0,2.119995, ,6,0,Tap,2
5,1,1,2.040001, ,6,0,Tap,9
6,0,0,2.260002, ,6,0,Tap,0
7,2,2,2.559998, ,6,0,Tap,7
8,0,0,2.020004, ,6,0,Tap,14
9,1,1,2.339996, ,6,0,Tap,5
10,0,0,2.240005, ,6,0,Tap,12
11,0,0,2.219994, ,6,0,Tap,3
12,0,0,1.960007, ,6,0,Tap,10
13,1,1,1.899994, ,6,0,Tap,1
14,0,0,2, ,6,0,Tap,8
15,1,1,2.060005, ,6,0,Tap,15
16,1,1,1.23999, ,15,1,Tap,8
17,0,0,1.580002, ,15,1,Tap,1
18,2,2,1.339996, ,15,1,Tap,10
19,2,2,1.5, ,15,1,Tap,3
20,0,0,1.660004, ,15,1,Tap,12
21,2,2,1.639999, ,15,1,Tap,5
22,1,1,1.360001, ,15,1,Tap,14
23,1,1,1.600006, ,15,1,Tap,7
24,0,0,3.199997, ,15,1,Tap,0
25,1,1,3.559998, ,15,1,Tap,9
26,1,1,2.119995, ,15,1,Tap,2
27,1,1,1.76001, ,15,1,Tap,11
28,1,1,1.419998, ,15,1,Tap,4
29,1,1,2.259995, ,15,1,Tap,13
30,1,1,1.62001, ,15,1,Tap,6
31,2,2,1.100006, ,9,0,Tap,0
32,1,1,1.819992, ,9,0,Tap,7
33,0,0,1.380005, ,9,0,Tap,14
34,0,0,1.360001, ,9,0,Tap,5
35,1,1,1.319992, ,9,0,Tap,12
36,1,1,1.180008, ,9,0,Tap,3
37,0,0,1.080002, ,9,0,Tap,10
38,0,0,0.8600006, ,9,0,Tap,1
39,1,1,1.099991, ,9,0,Tap,8
40,0,0,0.9000092, ,9,0,Tap,15
41,1,1,0.9199982, ,9,0,Tap,6
42,0,0,0.9199982, ,9,0,Tap,13
43,0,0,1.020004, ,9,0,Tap,4
44,0,0,0.9199982, ,9,0,Tap,11
45,1,1,1.179993, ,9,0,Tap,2
