Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.239766,1.216979,0.5162048,11.15765,0.5409774,longPress,3,-1,-0.08526109,1.136523,-0.02100515,-0.06801596,0.08017647,0.009530169,-0.1862861,1.153511,0.4979072
1,-0.2341903,1.219188,0.5123515,-9.228031,0.3564167,longPress,3,-1,-0.08201844,1.135719,-0.02164507,-0.06298045,0.09545472,0.009879711,-0.1814139,1.155791,0.4947982
1,-0.2218174,1.222518,0.4999914,26.68712,0.8901592,longPress,3,-1,-0.0805302,1.135392,-0.02193737,-0.06120167,0.101569,0.01098872,-0.169304,1.157671,0.4848294
1,-0.2102326,1.219983,0.4829531,7.389823,1.037956,longPress,3,-1,-0.07754244,1.134662,-0.02257681,-0.05746552,0.1163732,0.01162746,-0.1576253,1.155144,0.4685416
1,-0.2015352,1.21849,0.4707689,-14.28728,0.75221,longPress,3,-1,-0.07528465,1.134104,-0.02304935,-0.0546189,0.1268973,0.009432723,-0.1487746,1.153709,0.4569707
1,-0.1831401,1.214575,0.4561853,21.88655,1.189941,longPress,3,-1,-0.07303263,1.133589,-0.02365017,-0.05133973,0.1351013,0.008993337,-0.1309888,1.149642,0.443078
1,-0.1648198,1.206027,0.4601283,-8.003605,1.029869,longPress,3,-1,-0.0719096,1.133171,-0.02406788,-0.04871271,0.1397647,0.009626566,-0.1139778,1.140666,0.4473696
1,-0.1512222,1.198216,0.4608073,-12.25374,0.7847941,longPress,3,-1,-0.07118109,1.132677,-0.02441072,-0.04610321,0.1431485,0.00995857,-0.1016363,1.132393,0.4467411
1,-0.1307976,1.191038,0.4618144,14.94156,1.083625,longPress,3,-1,-0.06961215,1.131844,-0.02504873,-0.04141975,0.1488276,0.01095052,-0.08256844,1.125024,0.446136
1,-0.1033057,1.177614,0.4655237,22.86533,1.540932,longPress,3,-1,-0.06802751,1.131043,-0.02577257,-0.0366813,0.1553173,0.0122309,-0.05833747,1.11086,0.4468198
1,-0.09330538,1.172135,0.4670849,-48.27414,0.5754492,longPress,3,-1,-0.06677633,1.13,-0.02640867,-0.03278675,0.1584035,0.01552755,-0.04981855,1.104836,0.4472966
1,-0.05212377,1.150783,0.4696884,87.38042,2.323058,longPress,3,-1,-0.06619021,1.129556,-0.02673769,-0.03095522,0.1589269,0.01752275,-0.01095136,1.083323,0.4478173
1,-0.03999976,1.141974,0.4592242,-70.45822,0.9138933,longPress,3,-1,-0.06497166,1.128699,-0.02761984,-0.0263623,0.1605318,0.02037994,0.0002556555,1.074662,0.4361167
1,-0.01613603,1.124723,0.4573445,28.07018,1.475297,longPress,3,-1,-0.06453886,1.128243,-0.02799892,-0.02424822,0.1606902,0.02075415,0.02077614,1.056877,0.4318352
1,-0.00422975,1.116012,0.4606128,-35.988,0.755537,longPress,3,-1,-0.0640068,1.127826,-0.02829123,-0.02273702,0.1604937,0.02146223,0.03207795,1.048139,0.434092
