Case,X,Y,Z,modeSelected
1,0.1339392,1.423358,0.537,Tap
1,-0.01349241,1.179273,0.5345746,Tap
2,-0.2474874,0.8525127,0.537,Tap
3,0.3233578,1.233939,0.537,Tap
4,-0.35,1.1,0.537,Tap
5,0.3233579,0.9660608,0.537,Tap
6,-0.2474874,1.347487,0.537,Tap
6,-0.2474874,1.347487,0.537,Tap
7,0.1339393,0.7766422,0.537,Tap
7,0.1339393,0.7766422,0.537,Tap
7,0.1174952,0.8995595,0.5454679,Tap
8,-1.529899E-08,1.45,0.537,Tap
9,-0.1339393,0.7766422,0.537,Tap
10,0.2474874,1.347487,0.537,Tap
11,-0.3233578,0.9660608,0.537,Tap
11,-0.3233578,0.9660608,0.537,Tap
12,0.35,1.1,0.537,Tap
13,-0.3233578,1.233939,0.537,Tap
14,0.2474873,0.8525126,0.537,Tap
14,0.2474873,0.8525126,0.537,Tap
14,0.2474873,0.8525126,0.537,Tap
14,-0.09836701,1.353741,0.4925554,Tap
15,-0.1339392,1.423358,0.537,Tap
16,0.114805,1.377164,0.537,Tap
17,-0.2121321,0.887868,0.537,Tap
17,-0.07003108,0.9964809,0.5238227,Tap
17,0.2005388,1.16468,0.5219469,Tap
18,0.2771639,1.214805,0.537,Tap
19,-0.3,1.1,0.537,Tap
20,0.2771639,0.985195,0.537,Tap
20,0.08693916,1.057127,0.5630726,Tap
20,-0.05583203,1.143731,0.5247101,Tap
21,-0.212132,1.312132,0.537,Tap
21,-0.0921264,1.163103,0.500484,Tap
22,0.1148051,0.8228362,0.537,Tap
23,-1.311342E-08,1.4,0.537,Tap
24,-0.1148051,0.8228362,0.537,Tap
24,-0.005484343,1.017635,0.5188155,Tap
25,0.212132,1.312132,0.537,Tap
25,0.212132,1.312132,0.537,Tap
25,-0.08781219,1.150733,0.5044939,Tap
26,-0.2771639,0.985195,0.537,Tap
27,0.3,1.1,0.537,Tap
28,-0.2771639,1.214805,0.537,Tap
29,0.212132,0.8878679,0.537,Tap
30,-0.114805,1.377164,0.537,Tap
30,-0.0008679628,1.059167,0.403001,Tap
31,0.09567086,1.33097,0.537,Tap
32,-0.1767767,0.9232234,0.537,Tap
32,-0.116456,1.015527,0.4794649,Tap
33,0.2309699,1.195671,0.537,Tap
34,-0.25,1.1,0.537,Tap
35,0.2309699,1.004329,0.537,Tap
36,-0.1767767,1.276777,0.537,Tap
36,0.00965488,1.110198,0.3879378,Tap
37,0.0956709,0.8690302,0.537,Tap
37,-0.05527267,1.178871,0.5447285,Tap
38,-1.092785E-08,1.35,0.537,Tap
39,-0.09567089,0.8690301,0.537,Tap
40,0.1767767,1.276777,0.537,Tap
41,-0.2309699,1.004329,0.537,Tap
42,0.25,1.1,0.537,Tap
42,-0.08939978,1.183312,0.4813666,Tap
43,-0.2309699,1.195671,0.537,Tap
43,-0.1376089,1.133049,0.4465642,Tap
44,0.1767767,0.9232233,0.537,Tap
45,-0.09567085,1.33097,0.537,Tap
