Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.310092,0.9745989,0.5379639,37.15733,0.7483984,pinch,3,-1,-0.1366214,1.097222,0.1323667,-0.03432271,-0.07622265,0.06412472,-0.3124496,0.9586712,0.5174465
1,-0.3004529,0.9867088,0.5402193,1.683059,0.7820596,pinch,3,-1,-0.1279822,1.098414,0.1323061,-0.04179421,-0.04089313,0.06198258,-0.3085535,0.9591985,0.5129485
1,-0.2891146,0.9930324,0.5377674,-6.072778,0.6606041,pinch,3,-1,-0.122863,1.099135,0.1318297,-0.04531986,-0.01888776,0.06138344,-0.3001583,0.9614767,0.5060048
1,-0.2805155,0.9985976,0.530405,-1.494485,0.6307144,pinch,3,-1,-0.1130962,1.100214,0.1312866,-0.0530009,0.01885341,0.06104184,-0.2927051,0.9650179,0.4977422
1,-0.2697306,1.001108,0.5200157,6.424424,0.7592028,pinch,3,-1,-0.1130962,1.100214,0.1312866,-0.0530009,0.01885341,0.06104184,-0.2823863,0.966628,0.4877405
1,-0.2697306,1.001108,0.5200157,-37.96014,0,pinch,3,-1,-0.1032072,1.100948,0.1304908,-0.05959173,0.05533719,0.0604862,-0.2823863,0.966628,0.4877405
1,-0.2598713,1.004512,0.5102501,35.72101,0.7144202,pinch,3,-1,-0.09829596,1.101081,0.1299582,-0.06209356,0.07327353,0.06024167,-0.272065,0.970244,0.4787207
1,-0.2393119,1.006079,0.4973574,25.07404,1.215901,pinch,3,-1,-0.08370682,1.10195,0.1279454,-0.06719297,0.1201929,0.06129384,-0.2513347,0.9723953,0.466826
1,-0.2063057,1.009258,0.4742789,40.20428,2.019987,pinch,3,-1,-0.08370682,1.10195,0.1279454,-0.06719297,0.1201929,0.06129384,-0.2182263,0.9792874,0.4449244
1,-0.2063057,1.009258,0.4742789,-100.9993,0,pinch,3,-1,-0.07427448,1.102009,0.1267133,-0.06868796,0.146151,0.06139685,-0.2182263,0.9792874,0.4449244
