Case,X,Y,Z,modeSelected
4,-0.09115751,0.8298846,0.06542383,Tap
7,0.1424306,0.984714,0.1375321,Tap
16,-0.5139347,1.24983,0.1448561,Tap
18,-0.6323018,1.08157,0.02528664,Tap
22,-0.3716478,1.499695,0.1094674,Tap
26,0.1226973,1.008908,0.06126191,Tap
28,-0.09493046,1.468901,0.04432178,Tap
