Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
3889,23,90.86,FastTapIn,3.639997,0.3162657,-4.849948, ,0
3890,23,90.88,FastTapIn,3.659997,0.393377,3.855567, ,0
4060,24,95.42,FastTapIn,3.379997,0.2860842,9.829003, ,0
4061,24,95.43999,FastTapIn,3.399997,0.2374546,-2.431478, ,0
4062,24,95.46,FastTapIn,3.419997,0.2619582,1.225179, ,0
4233,25,100.24,FastTapIn,3.399997,0.3173249,11.52866, ,0
4234,25,100.26,FastTapIn,3.419997,0.2159437,-5.069061, ,0
4235,25,100.28,FastTapIn,3.439997,0.8078356,29.5946, ,0
4406,26,105.04,FastTapIn,3.399997,0.5833962,22.90376, ,0
4407,26,105.06,FastTapIn,3.419997,0.3620136,-11.06913, ,0
4408,26,105.08,FastTapIn,3.439997,0.3690455,0.3515944, ,0
4578,27,109.64,FastTapIn,3.379997,0.3865317,14.40023, ,0
4579,27,109.66,FastTapIn,3.399997,0.2215104,-8.251065, ,0
4580,27,109.68,FastTapIn,3.419997,0.7899365,28.4213, ,0
4581,27,109.7,FastTapIn,3.439997,0.4237866,-18.30749, ,0
4750,28,114.34,FastTapIn,3.359998,0.5297527,20.89604, ,0
4751,28,114.36,FastTapIn,3.379997,0.5394744,0.4860848, ,0
4752,28,114.38,FastTapIn,3.399997,0.5520179,0.627175, ,0
4927,29,119.06,FastTapIn,3.479997,0.550871,22.84722, ,0
4928,29,119.08,FastTapIn,3.499997,0.3374052,-10.67329, ,0
4929,29,119.1,FastTapIn,3.519997,0.4071257,3.486024, ,0
5101,30,123.78,FastTapIn,3.419997,0.3716054,13.68782, ,0
5102,30,123.8,FastTapIn,3.439997,0.2760035,-4.780091, ,0
5103,30,123.82,FastTapIn,3.459997,0.3615511,4.277379, ,0
5104,30,123.84,FastTapIn,3.479997,0.8118139,22.51314, ,0
5105,30,123.86,FastTapIn,3.499997,0.3724733,-21.96703, ,0
