Case,X,Y,Z,modeSelected
1,0.2474874,1.347487,0.537,Tap
1,0.2474874,1.347487,0.537,Tap
2,-0.1339393,0.7766422,0.537,Tap
2,-0.1339393,0.7766422,0.537,Tap
3,-1.529899E-08,1.45,0.537,Tap
4,0.1339393,0.7766422,0.537,Tap
5,-0.2474874,1.347487,0.537,Tap
5,-0.2474874,1.347487,0.537,Tap
6,0.3233579,0.9660608,0.537,Tap
7,-0.35,1.1,0.537,Tap
8,0.3233578,1.233939,0.537,Tap
9,-0.2474874,0.8525127,0.537,Tap
10,0.1339392,1.423358,0.537,Tap
10,0.1339392,1.423358,0.537,Tap
10,0.1339392,1.423358,0.537,Tap
11,4.173708E-09,0.75,0.537,Tap
12,-0.1339392,1.423358,0.537,Tap
13,0.2474873,0.8525126,0.537,Tap
14,-0.3233578,1.233939,0.537,Tap
14,-0.3233578,1.233939,0.537,Tap
15,0.35,1.1,0.537,Tap
16,0.212132,1.312132,0.537,Tap
16,0.212132,1.312132,0.537,Tap
16,0.1333978,1.247235,0.5127505,Tap
16,0.05615395,1.196435,0.5241404,Tap
17,-0.1148051,0.8228362,0.537,Tap
18,-1.311342E-08,1.4,0.537,Tap
18,0.03205782,1.260852,0.5204191,Tap
19,0.1148051,0.8228362,0.537,Tap
20,-0.212132,1.312132,0.537,Tap
20,-0.212132,1.312132,0.537,Tap
21,0.2771639,0.985195,0.537,Tap
22,-0.3,1.1,0.537,Tap
23,0.2771639,1.214805,0.537,Tap
24,-0.2121321,0.887868,0.537,Tap
25,0.114805,1.377164,0.537,Tap
25,0.09619331,1.265611,0.5447246,Tap
26,3.577464E-09,0.8,0.537,Tap
27,-0.114805,1.377164,0.537,Tap
27,-0.114805,1.377164,0.537,Tap
28,0.212132,0.8878679,0.537,Tap
29,-0.2771639,1.214805,0.537,Tap
29,-0.2771639,1.214805,0.537,Tap
30,0.3,1.1,0.537,Tap
30,0.2384646,1.094679,0.5163102,Tap
30,-0.157049,1.030898,0.520933,Tap
31,0.1767767,1.276777,0.537,Tap
31,0.08707213,1.168904,0.4891159,Tap
32,-0.09567089,0.8690301,0.537,Tap
32,-0.116456,1.015527,0.4948276,Tap
33,-1.092785E-08,1.35,0.537,Tap
33,-1.092785E-08,1.35,0.537,Tap
34,0.0956709,0.8690302,0.537,Tap
35,-0.1767767,1.276777,0.537,Tap
36,0.2309699,1.004329,0.537,Tap
37,-0.25,1.1,0.537,Tap
38,0.2309699,1.195671,0.537,Tap
39,-0.1767767,0.9232234,0.537,Tap
40,0.09567086,1.33097,0.537,Tap
41,2.98122E-09,0.85,0.537,Tap
42,-0.09567085,1.33097,0.537,Tap
42,-0.09567085,1.33097,0.537,Tap
43,0.1767767,0.9232233,0.537,Tap
43,0.01133364,0.9981082,0.4543915,Tap
44,-0.2309699,1.195671,0.537,Tap
45,0.25,1.1,0.537,Tap
