Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.96,B,8,1,magicTap,1
2,0,2,2.12,B,8,1,magicTap,10
3,0,0,2.1,B,8,1,magicTap,3
4,0,0,2.719999,B,8,1,magicTap,12
5,0,1,3.280001,B,8,1,magicTap,5
6,0,0,2.4,A,8,1,magicTap,14
7,0,0,2.76,B,8,1,magicTap,7
8,0,0,2.120001,B,8,1,magicTap,0
9,0,1,3.759998,B,8,1,magicTap,9
10,0,0,2.18,B,8,1,magicTap,2
11,0,1,3.459999,B,8,1,magicTap,11
12,0,2,3.240002,B,8,1,magicTap,4
13,0,0,2.439999,B,8,1,magicTap,13
14,0,1,2.18,B,8,1,magicTap,6
15,0,0,2.5,B,8,1,magicTap,15
16,0,0,1.679996,B,3,1,magicTap,12
17,0,3,1.640003,B,3,1,magicTap,5
18,0,1,1.859997,B,3,1,magicTap,14
19,0,1,1.660004,B,3,1,magicTap,7
20,0,1,1.959995,B,3,1,magicTap,0
21,0,1,1.720001,B,3,1,magicTap,9
22,0,1,1.700005,B,3,1,magicTap,2
23,0,1,1.68,B,3,1,magicTap,11
24,0,0,1.779999,B,3,1,magicTap,4
25,0,0,1.419998,B,3,1,magicTap,13
26,0,0,1.839996,B,3,1,magicTap,6
27,0,2,1.780006,B,3,1,magicTap,15
28,0,0,1.859993,B,3,1,magicTap,8
29,0,0,1.720001,B,3,1,magicTap,1
30,0,1,1.779999,B,3,1,magicTap,10
31,0,0,1.360001,B,14,1,magicTap,7
32,0,0,1.259995,B,14,1,magicTap,0
33,0,2,1.380005,B,14,1,magicTap,9
34,0,0,1.379997,B,14,1,magicTap,2
35,0,2,1.220001,B,14,1,magicTap,11
36,0,1,1.339996,B,14,1,magicTap,4
37,0,0,1.060005,B,14,1,magicTap,13
38,0,1,1.479996,B,14,1,magicTap,6
39,0,1,1.120003,B,14,1,magicTap,15
40,0,0,1.379997,B,14,1,magicTap,8
41,0,0,1.260002,B,14,1,magicTap,1
42,0,1,1.199997,B,14,1,magicTap,10
43,0,2,1.620003,B,14,1,magicTap,3
44,0,1,1.300003,B,14,1,magicTap,12
45,0,1,1.379997,B,14,1,magicTap,5
