Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.819992, ,6,0,longPress,13
2,0,1,2.820007, ,6,0,longPress,4
3,0,0,2.579987, ,6,0,longPress,11
4,0,0,3.100006, ,6,0,longPress,2
5,0,0,3.039993, ,6,0,longPress,9
6,0,0,3.280014, ,6,0,longPress,0
7,0,0,3.119995, ,6,0,longPress,7
8,0,0,2.73999, ,6,0,longPress,14
9,0,1,4.680008, ,6,0,longPress,5
10,0,0,2.860001, ,6,0,longPress,12
11,0,0,3.099991, ,6,0,longPress,3
12,0,0,2.600006, ,6,0,longPress,10
13,0,0,2.519989, ,6,0,longPress,1
14,0,0,2.76001, ,6,0,longPress,8
15,0,0,3.059998, ,6,0,longPress,15
16,0,0,2.059998, ,11,1,longPress,4
17,0,0,1.860016, ,11,1,longPress,13
18,0,1,2.059998, ,11,1,longPress,6
19,0,0,2.040009, ,11,1,longPress,15
20,0,0,1.959991, ,11,1,longPress,8
21,0,0,2.179993, ,11,1,longPress,1
22,0,0,1.880005, ,11,1,longPress,10
23,0,2,1.959991, ,11,1,longPress,3
24,0,0,1.980011, ,11,1,longPress,12
25,0,0,2.040009, ,11,1,longPress,5
26,0,0,1.899994, ,11,1,longPress,14
27,0,0,2.119995, ,11,1,longPress,7
28,0,3,2.100006, ,11,1,longPress,0
29,0,1,1.820007, ,11,1,longPress,9
30,0,0,2.459991, ,11,1,longPress,2
31,0,0,1.940002, ,3,1,longPress,12
32,0,0,1.959991, ,3,1,longPress,5
33,0,0,1.820007, ,3,1,longPress,14
34,0,0,1.859985, ,3,1,longPress,7
35,0,0,1.980011, ,3,1,longPress,0
36,0,0,1.919983, ,3,1,longPress,9
37,0,0,1.800018, ,3,1,longPress,2
38,0,0,1.639984, ,3,1,longPress,11
39,0,0,1.740021, ,3,1,longPress,4
40,0,0,1.720001, ,3,1,longPress,13
41,0,1,1.679993, ,3,1,longPress,6
42,0,0,1.73999, ,3,1,longPress,15
43,0,0,1.700012, ,3,1,longPress,8
44,0,0,1.880005, ,3,1,longPress,1
45,0,1,1.720001, ,3,1,longPress,10
