Case,X,Y,Z,modeSelected
5,-0.2454046,1.097257,0.353564,Tap
5,-0.008972779,1.070848,0.37511,Tap
5,0.2101296,1.035578,0.443492,Tap
6,-0.3371235,1.377465,0.4115188,Tap
7,-0.3740357,1.315198,0.4106627,Tap
9,-0.216886,0.9453115,0.4051333,Tap
11,-0.3187575,1.106519,0.3856803,Tap
11,-0.4684305,1.008643,0.4334578,Tap
11,-0.4710773,1.008691,0.433361,Tap
16,-0.03499433,0.9865279,0.3848932,Tap
18,0.1058868,1.081323,0.3800205,Tap
19,0.1442296,1.077564,0.4448744,Tap
19,-0.2535699,1.147441,0.3470735,Tap
22,-0.2451718,1.002442,0.3568561,Tap
22,-0.1347512,1.072402,0.3525028,Tap
23,-0.0919067,1.070025,0.3464324,Tap
23,-0.0785224,0.8800625,0.4541646,Tap
24,-0.1017342,0.966411,0.4344975,Tap
26,-0.1438383,1.194755,0.3141207,Tap
27,-0.3332348,1.141961,0.3319392,Tap
28,-0.1993634,1.099821,0.3994447,Tap
30,-0.02495699,1.326067,0.4354814,Tap
30,-0.231312,0.9235451,0.43533,Tap
32,-0.08616178,1.264116,0.375188,Tap
33,-0.07873491,1.238991,0.3523414,Tap
45,0.01548635,1.072841,0.3614029,Tap
