Case,X,Y,Z,modeSelected
1,0.1339393,0.7766422,0.537,Tap
1,0.1339393,0.7766422,0.537,Tap
2,-1.529899E-08,1.45,0.537,Tap
3,-0.1339393,0.7766422,0.537,Tap
4,0.2474874,1.347487,0.537,Tap
5,-0.3233578,0.9660608,0.537,Tap
6,0.35,1.1,0.537,Tap
7,-0.3233578,1.233939,0.537,Tap
7,-0.3233578,1.233939,0.537,Tap
8,0.2474873,0.8525126,0.537,Tap
9,-0.1339392,1.423358,0.537,Tap
9,-0.1069847,1.33257,0.5181394,Tap
10,4.173708E-09,0.75,0.537,Tap
11,0.1339392,1.423358,0.537,Tap
12,-0.2474874,0.8525127,0.537,Tap
12,0.08905202,1.088672,0.568751,Tap
13,0.3233578,1.233939,0.537,Tap
13,0.3233578,1.233939,0.537,Tap
13,0.3233578,1.233939,0.537,Tap
14,-0.35,1.1,0.537,Tap
14,-0.1079933,1.064477,0.4756359,Tap
15,0.3233579,0.9660608,0.537,Tap
16,0.1148051,0.8228362,0.537,Tap
16,0.07847404,0.9730677,0.4730186,Tap
16,0.05615395,1.196435,0.4668532,Tap
17,-1.311342E-08,1.4,0.537,Tap
18,-0.1148051,0.8228362,0.537,Tap
18,-0.1148051,0.8228362,0.537,Tap
18,0.1958642,1.143649,0.5465773,Tap
19,0.212132,1.312132,0.537,Tap
20,-0.2771639,0.985195,0.537,Tap
21,0.3,1.1,0.537,Tap
21,0.3,1.1,0.537,Tap
22,-0.2771639,1.214805,0.537,Tap
22,0.1461641,1.013827,0.5323796,Tap
23,0.212132,0.8878679,0.537,Tap
24,-0.114805,1.377164,0.537,Tap
25,3.577464E-09,0.8,0.537,Tap
25,3.577464E-09,0.8,0.537,Tap
25,0.008883238,0.9057887,0.5245947,Tap
26,0.114805,1.377164,0.537,Tap
27,-0.2121321,0.887868,0.537,Tap
27,-0.2121321,0.887868,0.537,Tap
28,0.2771639,1.214805,0.537,Tap
29,-0.3,1.1,0.537,Tap
29,0.2154516,1.1593,0.5385139,Tap
29,0.3,1.1,0.537,Tap
30,0.2771639,0.985195,0.537,Tap
30,0.1362704,1.04142,0.5091867,Tap
31,0.0956709,0.8690302,0.537,Tap
32,-1.092785E-08,1.35,0.537,Tap
33,-0.09567089,0.8690301,0.537,Tap
33,-0.02904853,0.9619017,0.5234705,Tap
34,0.1767767,1.276777,0.537,Tap
35,-0.2309699,1.004329,0.537,Tap
36,0.25,1.1,0.537,Tap
37,-0.2309699,1.195671,0.537,Tap
38,0.1767767,0.9232233,0.537,Tap
39,-0.09567085,1.33097,0.537,Tap
39,-0.04675952,1.160851,0.4610455,Tap
40,2.98122E-09,0.85,0.537,Tap
40,2.98122E-09,0.85,0.537,Tap
40,0.008552849,1.213364,0.4992737,Tap
41,0.09567086,1.33097,0.537,Tap
42,-0.1767767,0.9232234,0.537,Tap
43,0.2309699,1.195671,0.537,Tap
44,-0.25,1.1,0.537,Tap
44,0.1339665,1.035326,0.452413,Tap
45,0.2309699,1.004329,0.537,Tap
