Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.76, ,5,0,longPress,12
2,0,0,2.199999, ,5,0,longPress,3
3,0,0,2.940001, ,5,0,longPress,10
4,0,2,2.119999, ,5,0,longPress,1
5,0,0,3.880001, ,5,0,longPress,8
6,0,2,3.960001, ,5,0,longPress,15
7,0,0,5.299999, ,5,0,longPress,6
8,0,0,2.939999, ,5,0,longPress,13
9,0,0,2.760002, ,5,0,longPress,4
10,0,0,3.379997, ,5,0,longPress,11
11,0,1,2.260002, ,5,0,longPress,2
12,0,0,2.939999, ,5,0,longPress,9
13,0,0,3.16, ,5,0,longPress,0
14,0,0,2.900002, ,5,0,longPress,7
15,0,1,3.080002, ,5,0,longPress,14
16,0,1,2.080002, ,14,0,longPress,5
17,0,1,2.459999, ,14,0,longPress,12
18,0,2,1.800003, ,14,0,longPress,3
19,0,0,1.839996, ,14,0,longPress,10
20,0,0,1.980003, ,14,0,longPress,1
21,0,0,2.559998, ,14,0,longPress,8
22,0,0,2.860001, ,14,0,longPress,15
23,0,1,1.919998, ,14,0,longPress,6
24,0,1,2.040001, ,14,0,longPress,13
25,0,0,2.020004, ,14,0,longPress,4
26,0,0,1.959999, ,14,0,longPress,11
27,0,0,1.939995, ,14,0,longPress,2
28,0,0,2.040001, ,14,0,longPress,9
29,0,1,2.040001, ,14,0,longPress,0
30,0,0,2.139999, ,14,0,longPress,7
31,0,0,1.479996, ,14,1,longPress,7
32,0,1,1.620003, ,14,1,longPress,0
33,0,0,1.619995, ,14,1,longPress,9
34,0,0,1.660004, ,14,1,longPress,2
35,0,2,1.660004, ,14,1,longPress,11
36,0,1,1.879997, ,14,1,longPress,4
37,0,0,1.699997, ,14,1,longPress,13
38,0,0,1.68, ,14,1,longPress,6
39,0,1,1.540001, ,14,1,longPress,15
40,0,0,1.599998, ,14,1,longPress,8
41,0,0,1.5, ,14,1,longPress,1
42,0,0,1.540001, ,14,1,longPress,10
43,0,1,1.459999, ,14,1,longPress,3
44,0,0,1.540009, ,14,1,longPress,12
45,0,0,1.519989, ,14,1,longPress,5
