Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.34, ,5,1,Tap,14
2,1,1,2.34, ,5,1,Tap,7
3,1,1,1.720001, ,5,1,Tap,0
4,0,0,2.700001, ,5,1,Tap,9
5,0,0,2.200001, ,5,1,Tap,2
6,0,0,1.84, ,5,1,Tap,11
7,0,0,1.699997, ,5,1,Tap,4
8,0,0,1.82, ,5,1,Tap,13
9,0,0,1.980003, ,5,1,Tap,6
10,0,0,1.82, ,5,1,Tap,15
11,0,0,1.860001, ,5,1,Tap,8
12,0,0,1.519997, ,5,1,Tap,1
13,1,1,1.639999, ,5,1,Tap,10
14,0,0,1.68, ,5,1,Tap,3
15,0,0,1.700005, ,5,1,Tap,12
16,1,1,1.440002, ,15,1,Tap,8
17,0,0,1.160004, ,15,1,Tap,1
18,3,3,1.139999, ,15,1,Tap,10
19,0,0,1.419998, ,15,1,Tap,3
20,0,0,1.339996, ,15,1,Tap,12
21,2,2,1.740005, ,15,1,Tap,5
22,0,0,2.019997, ,15,1,Tap,14
23,0,0,1.559998, ,15,1,Tap,7
24,0,0,1.32, ,15,1,Tap,0
25,0,0,1.280006, ,15,1,Tap,9
26,0,0,1.339996, ,15,1,Tap,2
27,0,0,1.540001, ,15,1,Tap,11
28,1,1,1.900002, ,15,1,Tap,4
29,0,0,1.419998, ,15,1,Tap,13
30,0,0,2.919998, ,15,1,Tap,6
31,0,0,1.220001, ,14,1,Tap,7
32,0,0,1.040001, ,14,1,Tap,0
33,0,0,1.080002, ,14,1,Tap,9
34,0,0,1.059998, ,14,1,Tap,2
35,1,1,1.119995, ,14,1,Tap,11
36,0,0,1.180008, ,14,1,Tap,4
37,0,0,1.080002, ,14,1,Tap,13
38,0,0,1.219986, ,14,1,Tap,6
39,0,0,1.100006, ,14,1,Tap,15
40,0,0,1.180008, ,14,1,Tap,8
41,0,0,1.099991, ,14,1,Tap,1
42,0,0,1.040009, ,14,1,Tap,10
43,0,0,1.139999, ,14,1,Tap,3
44,0,0,0.8799896, ,14,1,Tap,12
45,0,0,1.200012, ,14,1,Tap,5
46,0,0,2.73999, ,9,1,longPress,2
47,0,0,2.559998, ,9,1,longPress,11
48,0,0,2.839996, ,9,1,longPress,4
49,0,0,3.320007, ,9,1,longPress,13
50,0,0,3.040009, ,9,1,longPress,6
51,0,0,2.320007, ,9,1,longPress,15
52,0,1,3.159973, ,9,1,longPress,8
53,0,0,2.420013, ,9,1,longPress,1
54,0,3,2.900024, ,9,1,longPress,10
55,0,0,3.219971, ,9,1,longPress,3
56,0,1,2.280029, ,9,1,longPress,12
57,0,1,2.459961, ,9,1,longPress,5
58,0,1,2.380005, ,9,1,longPress,14
59,0,1,3.880005, ,9,1,longPress,7
60,0,0,2.26001, ,9,1,longPress,0
61,0,0,2.280029, ,0,1,longPress,9
62,0,1,1.699951, ,0,1,longPress,2
63,0,2,1.800049, ,0,1,longPress,11
64,0,0,2.039978, ,0,1,longPress,4
65,0,0,1.679993, ,0,1,longPress,13
66,0,2,2, ,0,1,longPress,6
67,0,1,1.859985, ,0,1,longPress,15
68,0,0,1.960022, ,0,1,longPress,8
69,0,0,1.780029, ,0,1,longPress,1
70,0,1,1.679993, ,0,1,longPress,10
71,0,1,1.719971, ,0,1,longPress,3
72,0,0,1.820007, ,0,1,longPress,12
73,0,0,1.880005, ,0,1,longPress,5
74,0,0,1.619995, ,0,1,longPress,14
75,0,0,1.880005, ,0,1,longPress,7
76,0,0,1.599976, ,3,1,longPress,12
77,0,1,1.679993, ,3,1,longPress,5
78,0,0,1.76001, ,3,1,longPress,14
79,0,1,1.73999, ,3,1,longPress,7
80,0,0,1.859985, ,3,1,longPress,0
81,0,0,2.02002, ,3,1,longPress,9
82,0,1,1.73999, ,3,1,longPress,2
83,0,0,1.679993, ,3,1,longPress,11
84,0,0,1.540039, ,3,1,longPress,4
85,0,0,1.519958, ,3,1,longPress,13
86,0,0,1.600037, ,3,1,longPress,6
87,0,1,1.619995, ,3,1,longPress,15
88,0,2,1.559998, ,3,1,longPress,8
