Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
49,-0.2095895,0.8821743,0.519948,34.16129,0.8299678,pinch,1,10,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,-35.17916,0.1263846,pinch,1,10,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,-6.319231,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1066216,1.127783,-0.001764297,-0.00778883,-0.12847,0.03908937
49,-0.2114029,0.8804262,0.5197353,0,0,pinch,4,-1,-0.1045741,1.131908,-0.00638628,-0.02709726,-0.1144765,0.0430528
