Case,X,Y,Z,modeSelected
1,4.173708E-09,0.75,0.537,Tap
2,-0.1339392,1.423358,0.537,Tap
2,0.055686,0.857541,0.5167166,Tap
3,-0.3009257,1.210729,0.4878326,Tap
4,-0.3233578,1.233939,0.537,Tap
5,0.35,1.1,0.537,Tap
6,-0.3233578,0.9660608,0.537,Tap
7,0.2474874,1.347487,0.537,Tap
8,-0.1339393,0.7766422,0.537,Tap
9,-1.529899E-08,1.45,0.537,Tap
9,-1.529899E-08,1.45,0.537,Tap
9,0.02321494,1.424944,0.5263649,Tap
10,0.1339393,0.7766422,0.537,Tap
10,0.1339393,0.7766422,0.537,Tap
12,0.3233579,0.9660608,0.537,Tap
13,-0.35,1.1,0.537,Tap
14,0.3233578,1.233939,0.537,Tap
15,-0.2474874,0.8525127,0.537,Tap
16,3.577464E-09,0.8,0.537,Tap
16,-0.02193826,1.065205,0.4646605,Tap
16,-0.08297801,1.320325,0.4815807,Tap
17,-0.114805,1.377164,0.537,Tap
18,0.212132,0.8878679,0.537,Tap
18,-0.05480605,1.101994,0.5060815,Tap
19,-0.2771639,1.214805,0.537,Tap
19,-0.2771639,1.214805,0.537,Tap
20,0.3,1.1,0.537,Tap
20,0.3,1.1,0.537,Tap
21,-0.2771639,0.985195,0.537,Tap
22,0.212132,1.312132,0.537,Tap
23,-0.1148051,0.8228362,0.537,Tap
24,-1.311342E-08,1.4,0.537,Tap
25,0.1148051,0.8228362,0.537,Tap
26,-0.212132,1.312132,0.537,Tap
27,0.2771639,0.985195,0.537,Tap
28,-0.3,1.1,0.537,Tap
29,0.2771639,1.214805,0.537,Tap
30,-0.2121321,0.887868,0.537,Tap
31,2.98122E-09,0.85,0.537,Tap
31,-0.03604317,1.128002,0.4424355,Tap
33,0.1767767,0.9232233,0.537,Tap
33,-0.02904853,0.9619017,0.5165709,Tap
33,-0.09693056,1.048947,0.4503329,Tap
34,-0.2309699,1.195671,0.537,Tap
35,0.25,1.1,0.537,Tap
36,-0.2309699,1.004329,0.537,Tap
36,-0.2309699,1.004329,0.537,Tap
37,0.1767767,1.276777,0.537,Tap
38,-0.09567089,0.8690301,0.537,Tap
39,-1.092785E-08,1.35,0.537,Tap
40,0.0956709,0.8690302,0.537,Tap
41,-0.1767767,1.276777,0.537,Tap
41,-0.1767767,1.276777,0.537,Tap
41,0.05184555,1.171961,0.5061667,Tap
42,0.2309699,1.004329,0.537,Tap
43,-0.25,1.1,0.537,Tap
43,-0.25,1.1,0.537,Tap
43,0.01707071,1.174902,0.4651569,Tap
44,0.2309699,1.195671,0.537,Tap
45,-0.1767767,0.9232234,0.537,Tap
