Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.48,B,3,0,magicTap,10
2,0,0,2.28,B,3,0,magicTap,1
3,0,0,2.18,B,3,0,magicTap,8
4,0,0,2.320001,B,3,0,magicTap,15
5,0,0,2.58,B,3,0,magicTap,6
6,0,1,2.419998,B,3,0,magicTap,13
7,0,0,3,B,3,0,magicTap,4
8,0,1,2.18,A,3,0,magicTap,11
9,0,0,2.58,B,3,0,magicTap,2
10,0,0,2.68,B,3,0,magicTap,9
11,0,0,2.599998,A,3,0,magicTap,0
12,0,1,2.600002,B,3,0,magicTap,7
13,0,0,3.119999,A,3,0,magicTap,14
14,0,1,2.68,B,3,0,magicTap,5
15,0,1,2.599998,B,3,0,magicTap,12
16,0,0,1.5,B,0,1,magicTap,9
17,0,0,1.720001,B,0,1,magicTap,2
18,0,1,1.599998,B,0,1,magicTap,11
19,0,0,1.620003,B,0,1,magicTap,4
20,0,0,1.68,B,0,1,magicTap,13
21,0,0,1.499996,B,0,1,magicTap,6
22,0,0,1.700001,B,0,1,magicTap,15
23,0,0,1.720001,B,0,1,magicTap,8
24,0,0,1.459999,A,0,1,magicTap,1
25,0,1,1.620003,B,0,1,magicTap,10
26,0,1,1.639999,B,0,1,magicTap,3
27,0,0,1.32,B,0,1,magicTap,12
28,0,1,1.68,B,0,1,magicTap,5
29,0,0,1.68,B,0,1,magicTap,14
30,0,0,1.639999,A,0,1,magicTap,7
31,0,2,1.759995,B,10,1,magicTap,3
32,0,0,1.440002,B,10,1,magicTap,12
33,0,0,1.68,B,10,1,magicTap,5
34,0,0,1.580002,B,10,1,magicTap,14
35,0,0,1.580002,B,10,1,magicTap,7
36,0,0,1.599998,B,10,1,magicTap,0
37,0,1,1.5,B,10,1,magicTap,9
38,0,0,1.68,B,10,1,magicTap,2
39,0,0,1.68,A,10,1,magicTap,11
40,0,1,1.519997,A,10,1,magicTap,4
41,0,0,1.620003,B,10,1,magicTap,13
42,0,0,1.579994,B,10,1,magicTap,6
43,0,2,1.460007,A,10,1,magicTap,15
44,0,0,1.579994,B,10,1,magicTap,8
45,0,0,1.600006,B,10,1,magicTap,1
