Case,X,Y,Z,a,v,modeSelected,area_type,index,is_triggered,,,,,
49,-0.168753,1.003818,0.464304,60.06017,1.726032,Tap,3,-1,-0.02856946,1.106394,-0.0141201,-0.007971717,0.09669803,0.000244848
49,-0.1537595,1.010206,0.449142,-30.65203,1.112991,Tap,3,-1,-0.02714166,1.106334,-0.01466417,-0.008545819,0.1040677,-0.000254006
49,-0.1430345,1.01466,0.4381423,-15.6611,0.7997692,Tap,3,-1,-0.0243291,1.106561,-0.01565504,-0.01095262,0.1180716,-0.000252659
49,-0.1228557,1.017253,0.4268084,18.23332,1.164436,Tap,3,-1,-0.02340487,1.106516,-0.01619911,-0.01095392,0.1226175,7.51E-05
49,-0.1140436,1.016442,0.4282365,-35.81211,0.4481934,Tap,3,-1,-0.02092198,1.106258,-0.01731014,-0.01245414,0.1350721,0.000610862
49,-0.1052346,1.016688,0.4302001,0.1618892,0.4514312,Tap,3,-1,-0.01984389,1.106287,-0.01776218,-0.01296005,0.1400523,0.001194497
49,-0.09092472,1.01922,0.4201717,21.56946,0.8828202,Tap,3,-1,-0.01795194,1.106344,-0.01866722,-0.01436163,0.1469458,0.001312719
49,-0.0530774,1.018746,0.4159784,51.06363,1.904093,Tap,3,-1,-0.01695595,1.106297,-0.01910114,-0.01490673,0.1497679,0.001080634
49,-0.03874227,1.021689,0.410852,-56.4396,0.775301,Tap,3,-1,-0.01519499,1.106654,-0.01977015,-0.01668684,0.1536361,0.001648197
49,-0.007508766,1.020869,0.416522,40.6214,1.587729,Tap,3,-1,-0.01463663,1.106637,-0.02007532,-0.0169048,0.1549219,0.001390743
49,0.007204764,1.022805,0.4159713,-42.26,0.7425289,Tap,3,-1,-0.01378023,1.106614,-0.02043247,-0.01688536,0.1558995,0.001033422
49,0.02137089,1.024612,0.4128575,-0.5854309,0.7308203,Tap,3,-1,-0.01288337,1.106743,-0.02063274,-0.01690754,0.1562636,0.001805288
49,0.03441592,1.029221,0.4109864,-1.637784,0.6980646,Tap,3,-1,-0.01127805,1.10675,-0.02115059,-0.01711491,0.1587594,0.002293005
49,0.0493797,1.03037,0.4131775,3.014076,0.7583461,Tap,3,-1,-0.009845596,1.106465,-0.02158833,-0.01592954,0.1593394,0.001953242
